Id,Team,Match,Time,RecordType,Mode,Leave,AcqLoc,AcqCenter,AcqDis,AcqDrp,DelOrig,DelDest,DelMiss,DriveSta,RobotSta,HPAmp,StageStat,StageAtt,StageLoc,Harmony,Spotlit,ClimbT,OZTime,NZTime,AZTime,Defense,Avoidance,Strategy,Mics,ScouterName,ScouterError,match_event,teammat,TimeCenter
1,frc3339,53,2024-02-27 19:08:31.453,Activities,Auto,0,Pre,0,0,0,AllyW,Spkr,0,blue1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Eric,0,-,3339.53,0
2,frc5990,53,2024-02-27 19:08:32.420,Activities,Auto,0,Pre,0,0,0,AllyW,Spkr,0,red1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Savannah,0,-,5990.53,0
3,frc3211,53,2024-02-27 19:08:34.253,Activities,Auto,0,Pre,0,0,0,AllyW,Spkr,1,red2,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Gabriel,0,-,3211.53,0
4,frc3339,53,2024-02-27 19:08:36.787,Activities,Auto,0,Neutral,0,0,0,AllyW,Spkr,0,blue1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Eric,0,-,3339.53,0
5,frc3339,53,2024-02-27 19:08:41.840,Activities,Auto,0,AllyWing,0,0,0,AllyW,Spkr,0,blue1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Eric,0,-,3339.53,0
6,frc3339,53,2024-02-27 19:08:28.973,StartMatch,Auto,0,-,0,0,0,-,-,0,blue1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Eric,0,-,3339.53,0
7,frc3339,53,2024-02-27 19:08:46.973,EndAuto,Auto,1,-,0,0,0,-,-,0,blue1,OppS,Y,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Eric,0,-,3339.53,0
8,frc5990,53,2024-02-27 19:08:29.037,StartMatch,Auto,0,-,0,0,0,-,-,0,red1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Savannah,0,-,5990.53,0
9,frc5990,53,2024-02-27 19:08:47.037,EndAuto,Auto,1,-,0,0,0,-,-,0,red1,Amp,Y,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Savannah,0,-,5990.53,0
10,frc3065,53,2024-02-27 19:08:32.467,StartMatch,Auto,0,-,0,0,0,-,-,0,red0,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Nicky,0,-,3065.53,0
11,frc3065,53,2024-02-27 19:08:50.467,EndAuto,Auto,1,-,0,0,0,-,-,0,red0,SubW,N,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Nicky,0,-,3065.53,0
12,frc3211,53,2024-02-27 19:08:50.477,Activities,Auto,0,Neutral,1,1,0,-,-,0,red2,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Gabriel,1000,-,3211.53,13
13,frc3339,53,2024-02-27 19:08:53.387,Activities,Teleop,0,Neutral,0,0,0,AllyW,Amp,0,blue1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Eric,0,-,3339.53,0
14,frc5990,53,2024-02-27 19:08:54.513,Activities,Teleop,0,Z,0,0,0,AllyW,Amp,0,red1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Savannah,10000000,-,5990.53,0
15,frc3211,53,2024-02-27 19:08:37.517,StartMatch,Auto,0,-,0,0,0,-,-,0,red2,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Gabriel,1000,-,3211.53,0
16,frc3211,53,2024-02-27 19:08:55.517,EndAuto,Auto,0,-,0,0,0,-,-,0,red2,Podm,N,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Gabriel,1000,-,3211.53,0
17,frc5990,53,2024-02-27 19:09:03.243,Activities,Teleop,0,AllyWing,0,0,0,AllyW,Amp,0,red1,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Savannah,10000000,-,5990.53,0
18,frc3065,53,2024-02-27 19:09:12.577,Activities,Teleop,0,Source,0,0,0,AllyW,Spkr,0,red0,-,-,-,9,-,9,9,0.0,0.0,0.0,0.0,9,9,-,9,Nicky,0,-,3065.53,0
