Id,Team,Match,Time,RecordType,Mode,Leave,AcqLoc,AcqCenter,AcqDis,AcqDrp,DelOrig,DelDest,DelMiss,DriveSta,RobotSta,HPAmp,StageStat,StageAtt,StageLoc,Harmony,Spotlit,ClimbT,OZTime,NZTime,AZTime,Defense,Avoidance,Strategy,Mics,ScouterName,ScouterError,match_event,teammat,TimeCenter
43,frc3065,53,2024-02-27 19:11:56.577,EndMatch,Showtime,1,-,0,0,0,-,-,0,red0,SubW,N,Park,0,A,9,9,0.0,45.7600226,23.695393199999998,67.2431897,1,0,Shooter,9,Nicky,100000,-,3065.53,0
44,frc5990,53,2024-02-27 19:11:56.590,EndMatch,Showtime,1,Source,0,0,0,-,-,0,red1,Amp,Y,Park,0,A,9,9,0.0,41.5277367,21.8867066,72.7647843,0,0,Shooter,0,Savannah,20000000,-,5990.53,0
45,frc3211,53,2024-02-27 19:11:56.597,EndMatch,Showtime,0,-,0,0,0,-,-,0,red2,Podm,N,Else,0,A,9,9,0.0,15.588708899999999,2.5753971,109.7138172,2,0,Hybrid,9,Gabriel,1000,-,3211.53,0
46,frc3339,53,2024-02-27 19:11:56.610,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,blue1,OppS,Y,Else,0,A,9,9,0.0,38.8796957,24.585940599999997,73.00052819999999,0,1,Hybrid,0,Eric,0,-,3339.53,0
68,frc7067,54,2024-02-27 19:18:33.697,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,red0,OppS,Y,Park,-1,A,9,9,3.8543852999999997,25.117269399999998,24.207195499999997,41.244628,0,0,Mover,0,Nicky,0,-,7067.54,0
69,frc3316,54,2024-02-27 19:18:33.713,EndMatch,Showtime,1,-,0,0,0,-,-,0,red1,SubW,N,Park,0,A,9,9,0.0,17.8480281,79.529428,36.9893005,0,0,Shooter,9,Savannah,0,-,3316.54,0
70,frc8175,54,2024-02-27 19:18:33.727,EndMatch,Showtime,0,-,0,0,0,-,-,0,red2,Podm,N,Park,0,A,9,9,0.0,0.0,0.0,143.95629259999998,0,0,Shooter,9,Gabriel,10000000,-,8175.54,0
71,frc1576,54,2024-02-27 19:18:33.743,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue1,OppS,Y,Park,0,A,9,9,0.0,0.0,92.4533342,41.3823206,3,0,Defense,2,Eric,0,-,1576.54,0
127,frc1942,55,2024-02-27 19:24:08.483,EndMatch,Showtime,0,-,0,0,0,-,-,0,red0,SubW,N,Park,0,A,9,9,0.0,16.0518188,45.666928399999996,76.4536937,0,0,Shooter,9,Nicky,30000000,-,1942.55,0
128,frc1574,55,2024-02-27 19:24:08.497,EndMatch,Showtime,1,-,0,0,0,-,-,0,red1,Podm,N,On,1,L,0,0,26.367785899999998,5.750989199999999,34.592531,28.063511499999997,0,0,Celebrity,9,Savannah,20200000,-,1574.55,0
129,frc1690,55,2024-02-27 19:24:08.513,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,red2,OppS,Y,On,1,R,0,0,4.2331259,30.580198099999997,20.8855708,64.958831,0,0,Celebrity,0,Gabriel,10000000,-,1690.55,0
130,frc9303,55,2024-02-27 19:24:08.530,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue0,Amp,N,Else,0,A,9,9,0.0,9.964621,50.547778,78.34878479999999,0,0,,9,Jialing,0,-,9303.55,0
131,frc7177,55,2024-02-27 19:24:08.540,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,Podm,Y,Else,0,A,9,9,0.0,77.05274039999999,17.1669221,42.461701,0,1,Hybrid,0,Eric,0,-,7177.55,0
132,frc4320,55,2024-02-27 19:24:08.560,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue2,SubW,N,Park,-1,A,9,9,12.8685963,11.4578049,8.4721069,105.50970249999999,0,0,Shooter,9,Milo,0,-,4320.55,0
175,frc5654,56,2024-02-27 19:29:01.093,EndMatch,Showtime,1,Source,0,0,0,-,-,0,red1,SubW,Y,On,1,L,0,1,11.086986699999999,27.8510617,11.9365618,56.448394099999994,0,0,Hybrid,1,Savannah,10100000,-,5654.56,0
174,frc9738,56,2024-02-27 19:29:01.093,EndMatch,Showtime,0,-,0,0,0,-,-,0,red0,Podm,N,On,1,L,0,0,0.36834079999999997,3.726523,67.300687,54.8781088,1,1,Celebrity,9,Nicky,0,-,9738.56,0
176,frc2679,56,2024-02-27 19:29:01.110,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,OppS,N,Park,0,A,9,9,0.0,0.0,0.0,136.3471626,3,0,Defense,9,Gabriel,0,-,2679.56,0
177,frc5715,56,2024-02-27 19:29:01.127,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue0,SubW,N,Park,-1,A,9,9,0.9426131999999999,22.103503999999997,27.8297839,94.0176429,0,0,Hybrid,9,Jialing,0,-,5715.56,0
178,frc6230,56,2024-02-27 19:29:01.143,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue1,Amp,N,Park,0,A,9,9,0.0,34.2281737,98.1310285,3.8242304,1,0,Defense,9,Eric,0,-,6230.56,0
179,frc2230,56,2024-02-27 19:29:01.157,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue2,Podm,Y,On,1,L,0,0,9.607294399999999,13.224118299999999,11.135178,28.6583845,0,0,Hybrid,0,Milo,0,-,2230.56,0
231,frc1577,57,2024-02-27 19:33:14.077,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,red0,SubW,Y,Else,0,A,9,9,0.0,43.9360305,24.364967,69.95920869999999,0,1,Hybrid,0,Nicky,200000,-,1577.57,0
232,frc6740,57,2024-02-27 19:33:14.093,EndMatch,Showtime,0,-,0,0,0,-,-,0,red1,Amp,N,Park,0,A,9,9,0.0,34.5285625,49.1135982,52.837253499999996,0,1,Celebrity,9,Savannah,10000000,-,6740.57,0
233,frc3083,57,2024-02-27 19:33:14.107,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,OppS,N,Else,0,A,9,9,0.0,0.0,0.0,56.7167025,0,0,,9,Gabriel,0,-,3083.57,0
235,frc6738,57,2024-02-27 19:33:14.123,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,SubW,Y,On,1,L,0,0,4.5117565,30.5781374,20.8206433,75.37576299999999,0,0,Hybrid,0,Eric,10300000,-,6738.57,0
234,frc9740,57,2024-02-27 19:33:14.123,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue0,Amp,N,Park,0,A,9,9,0.0,100.7772682,23.7806553,14.7711353,3,0,Defense,9,Jialing,0,-,9740.57,0
236,frc3316,57,2024-02-27 19:33:14.140,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,blue2,Podm,N,Else,0,A,9,9,0.0,37.4932145,35.0144004,64.91023419999999,0,1,Hybrid,9,Milo,0,-,3316.57,0
274,frc9303,58,2024-02-27 19:38:02.680,EndMatch,Showtime,0,-,0,0,0,-,-,0,red0,SubW,N,Park,0,A,9,9,0.0,0.0,127.60154809999999,10.8148552,1,0,Mover,9,Nicky,10000000,-,9303.58,0
275,frc9738,58,2024-02-27 19:38:02.697,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,red1,Podm,Y,On,1,L,0,0,9.39538,16.6242984,47.5982649,50.388901499999996,0,0,Shooter,0,Savannah,20200000,-,9738.58,0
