Teleop Deliveries,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Average Teleop Deliveries per Drive Station,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Average Teleop Deliveries,Unnamed: 16,Unnamed: 17
Team,Amp,Speaker,Trap,Miss,Total Att,Difference,Norm,,Team,Amp,Center,Source,,,team,Current Stations,All Stations
frc1690,4.666666666666667,4.666666666666667,0,0.3333333333333333,9.666666666666668,0,9.666666666666668,,frc4320,1.5,5,5,,,frc4320,1.5,4.25
frc1577,1.3333333333333333,1.6666666666666667,0,0,3,6.666666666666668,9.666666666666668,,frc1577,0,0,4.5,,,frc1577,0,7.666666666666667
frc4320,2,1.25,0,1.25,4.5,5.166666666666668,9.666666666666668,,frc1690,10,12,6,,,frc1690,6,12.333333333333334
,,,,,,,,,,,,,,,Total,7.5,24.25
,,,,,,,,,,,,,,,,,
frc4320,Amp Station - Teleop Deliveries,,,,,,,,Amp Station - Speaker Shooting Percentages,,,,,,,,
Scale,Divisions,L Amp,R Speak,All Amp,All Speak,Pointer,,,frc4320,,,,,,,,
L Red,25,19.928571428571427,93.16666666666667,0,0,Actual Value,,,Origin,Quantity,Shooting,Misses,Total,,,,
L Yellow,50,1.5,1.5,2,1.25,Needle Width,,,SubW,2,1,0,2,,,,
L Green,25,78.57142857142857,6.833333333333332,4.666666666666667,7.5,Balance,,,AllyW,12,0.7058823529411765,5,17,,,,
R Green,25,,,,,Event Low,,,Neut,1,0.5,1,2,,,,
R Yellow,50,Amp: 2,Spkr: 1.25,Trap: 0/4,,Team Value,,,,,,,,,,,
R Red,25,,,,,Event High,,,Amp Accuracy: 25.00%,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
frc1577,Center Station - Teleop Deliveries,,,,,,,,Center Station - Speaker Shooting Percentages,,,,,,,,
Scale,Divisions,L Amp,R Speak,All Amp,All Speak,Pointer,,,frc1577,,,,,,,,
L Red,25,12.785714285714285,90.38888888888889,0,0,Actual Value,,,Origin,Quantity,Shooting,Misses,Total,,,,
L Yellow,50,1.5,1.5,1.3333333333333333,1.6666666666666667,Needle Width,,,SubW,0,0,0,0,,,,
L Green,25,85.71428571428572,9.611111111111112,4.666666666666667,7.5,Balance,,,AllyW,12,0.9230769230769231,1,13,,,,
R Green,25,,,,,Event Low,,,Neut,3,1,0,3,,,,
R Yellow,50,Amp: 1.33,Spkr: 1.67,Trap: 0/3,,Team Value,,,,,,,,,,,
R Red,25,,,,,Event High,,,Amp Accuracy: 25.00%,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
frc1690,Source Station - Teleop Deliveries,,,,,,,,Source Station - Speaker Shooting Percentages,,,,,,,,
Scale,Divisions,L Amp,R Speak,All Amp,All Speak,Pointer,,,frc1690,,,,,,,,
L Red,25,48.5,70.38888888888889,0,0,Actual Value,,,Origin,Quantity,Shooting,Misses,Total,,,,
L Yellow,50,1.5,1.5,4.666666666666667,4.666666666666667,Needle Width,,,SubW,0,0,0,0,,,,
L Green,25,50,29.61111111111111,4.666666666666667,7.5,Balance,,,AllyW,22,1,0,22,,,,
R Green,25,,,,,Event Low,,,Neut,2,0.6666666666666666,1,3,,,,
R Yellow,50,Amp: 4.67,Spkr: 4.67,Trap: 0/3,,Team Value,,,,,,,,,,,
R Red,25,,,,,Event High,,,Amp Accuracy: 25.00%,,,,,,,,
