End_Date,Event_Code,Event_Type,Event_Type_String,Event_Key,Event_Name,Short_Name,Start_Date,Week,Year
2024-04-06,alhu,0,Regional,2024alhu,Rocket City Regional,Rocket City,2024-04-03,5,2024
2024-03-09,arli,0,Regional,2024arli,Arkansas Regional,Arkansas,2024-03-06,1,2024
2024-03-17,ausc,0,Regional,2024ausc,Southern Cross Regional,Southern Cross,2024-03-15,2,2024
2024-03-23,azgl,0,Regional,2024azgl,Arizona East Regional,Arizona East,2024-03-20,3,2024
2024-03-16,azva,0,Regional,2024azva,Arizona Valley Regional,Arizona Valley,2024-03-13,2,2024
2024-03-02,bcvi,0,Regional,2024bcvi,Canadian Pacific Regional,Canadian Pacific,2024-02-28,0,2024
2024-03-02,brbr,0,Regional,2024brbr,Brazil Regional,Brazil,2024-02-28,0,2024
2024-04-06,caav,0,Regional,2024caav,Aerospace Valley Regional,Aerospace Valley,2024-04-03,5,2024
2024-04-07,cabe,0,Regional,2024cabe,East Bay Regional,East Bay,2024-04-04,5,2024
2024-03-16,cada,0,Regional,2024cada,Sacramento Regional,Sacramento,2024-03-13,2,2024
2024-03-24,cafr,0,Regional,2024cafr,Central Valley Regional,Central Valley,2024-03-21,3,2024
2024-03-17,cala,0,Regional,2024cala,Los Angeles Regional,Los Angeles,2024-03-14,2,2024
2024-03-30,camb,0,Regional,2024camb,Monterey Bay Regional,Monterey Bay,2024-03-27,4,2024
2024-03-30,caoc,0,Regional,2024caoc,Orange County Regional,Orange County,2024-03-27,4,2024
2024-03-03,caph,0,Regional,2024caph,Hueneme Port Regional,Hueneme Port,2024-02-29,0,2024
2024-03-24,casd,0,Regional,2024casd,San Diego Regional presented by Qualcomm,San Diego,2024-03-21,3,2024
2024-03-10,casf,0,Regional,2024casf,San Francisco Regional,San Francisco,2024-03-07,1,2024
2024-03-03,casj,0,Regional,2024casj,Silicon Valley Regional,Silicon Valley,2024-02-29,0,2024
2024-03-10,cave,0,Regional,2024cave,Ventura County Regional,Ventura County,2024-03-07,1,2024
2024-04-06,chcmp,2,District Championship,2024chcmp,FIRST Chesapeake District Championship,Chesapeake,2024-04-03,5,2024
2024-03-23,code,0,Regional,2024code,Colorado Regional,Colorado,2024-03-20,3,2024
2024-03-03,cthar,1,District,2024cthar,NE District Hartford Event,Hartford,2024-03-01,0,2024
2024-03-10,ctwat,1,District,2024ctwat,NE District Waterbury Event,Waterbury,2024-03-08,1,2024
2024-03-23,flor,0,Regional,2024flor,Orlando Regional,Orlando,2024-03-20,3,2024
2024-03-16,flta,0,Regional,2024flta,Tallahassee Regional,Tallahassee,2024-03-13,2,2024
2024-03-02,flwp,0,Regional,2024flwp,South Florida Regional,South Florida,2024-02-28,0,2024
2024-03-30,gaalb,1,District,2024gaalb,PCH District Albany Event,Albany,2024-03-28,4,2024
2024-03-23,gacar,1,District,2024gacar,PCH District Carrollton Event,Carrollton,2024-03-21,3,2024
2024-04-06,gacmp,2,District Championship,2024gacmp,Peachtree District Championship,Peachtree,2024-04-03,5,2024
2024-03-09,gadal,1,District,2024gadal,PCH District Dalton Event,Dalton,2024-03-07,1,2024
