B L U E   A L L I A N C E   A P I,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,DynoScout,HUMAN PLAYER,Unnamed: 32,LEAVE,AUTO DELIVERY TOTALS,Unnamed: 35,Unnamed: 36,TELEOP DELIVERY TOTALS,Unnamed: 38,Unnamed: 39,GAME TOTAL,FLOOR DELIVERY TOTALS,Unnamed: 42,Unnamed: 43,CENTER NOTE ACTIVITY,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,DESTINATION MISSES AND SHOOTING PERCENTAGES,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,ORIGIN MISSES AND SHOOTING PERCENTAGES,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,ACQUISTIONS,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,ZONE TIMES,Unnamed: 77,Unnamed: 78,SHOWTIME,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,RATINGS,Unnamed: 86,Unnamed: 87,CONTRIBUTION TOTALS AND PERCENTAGES,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107
Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts,Scouted,HPamp,HPmics,Leave,AampT,AspkrT,AtrapT,TampT,TspkrT,TtrapT,TotNotesT,NeutFlrT,AllyWFlrT,RobotSet,Acenter1,Acenter2,Acenter3,Acenter4,Acenter5,ampM,ampShtP,spkrM,spkrShtP,trapM,trapShtP,NZflM,NZflP,AZflM,AZflP,OZflrT,OZflrM,OZflrP,NZflrT,NZflrM,NZflrP,AZflrT,AZflrM,AZflrP,SubwT,SubwM,SubwP,AcqOZfl,AcqNZfl,AcqAZfl,AcqSource,sourceD,timeOZ,timeNZ,timeAZ,timeclimb,stageStat,stageAtt,stageLoc,Harmony,Spotlit,appStrat,Defense,Avoid,teammatch,teammat,AptsT,AptsP,AnotesP,TampP,TspkrP,TspkrptsC,TtrapP,TotnotesP,noteptsT,noteptsP,stageptsT,stageptsP,TotptsC,TotptsP,AveTeamTNoteDels,AveOppTNoteDels,ATTNDDiff,AOTNPDiff
2024isde1,qm,2024isde1_qm1,1,B,Blue3S,S,frc9303,True,59,1,0,4,0,4,20,22,7,4,3,20,6,7,26,33,0,0,18,53,4,1,1,0,0,0,0,0,0,0,0,0,0,0,Amp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.912434299999994,19.856845999999997,58.5984327,0,Else,0,A,0,0,,0,0,1,9303.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,18.56153846153846,-1.3333333333333333,0
2024isde1,qm,2024isde1_qm1,1,R,Red3A,A,frc5990,False,26,0,0,0,0,1,5,7,6,1,1,5,2,2,7,13,0,0,9,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Amp,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46.519694099999995,4.9527619,80.67708569999999,0,Else,0,A,0,0,Shooter,0,0,1,5990.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.794871794871796,20.966666666666665,-12.794871794871796,0
2024isde1,qm,2024isde1_qm1,1,B,Blue2C,C,frc1690,True,59,1,0,4,0,4,20,22,7,4,3,20,6,7,26,33,0,0,18,53,4,1,0,0,1,0,6,0,6,6,0,18,0,0,Podm,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17,0,1,0,0,0,8,3,4,0,0,27.1044627,28.5036331,63.7193519,10.3789114,On,1,L,0,0,Hybrid,0,1,1,1690.01,32,1.4545454545454546,0,0.8571428571428571,0.8571428571428571,22.285714285714285,0,1,58.285714285714285,1.0997304582210243,3,0.75,63.285714285714285,1.0726392251815982,18.3,18.56153846153846,9.985714285714284,0
2024isde1,qm,2024isde1_qm1,1,R,Red2C,C,frc4320,False,26,0,0,0,0,1,5,7,6,1,1,5,2,2,7,13,0,0,9,18,2,1,0,0,0,0,1,0,3,2,0,6,0,0,Podm,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,4,0,0,1.7643782,21.148475299999998,96.6020319,5.0046737,Park,-1,A,0,0,Shooter,0,1,1,4320.01,5,0.7142857142857143,0,0.5,1,7,0,0.6666666666666666,15,0.8333333333333334,1,0.5,16,0.6153846153846154,4.766666666666667,20.966666666666665,5.233333333333333,0
2024isde1,qm,2024isde1_qm1,1,B,Blue1A,A,frc4319,True,59,1,0,4,0,4,20,22,7,4,3,20,6,7,26,33,0,0,18,53,4,1,0,0,0,0,0,0,0,0,0,0,0,0,Podm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.1882843,103.37562469999999,0,Park,0,A,0,0,,2,0,1,4319.01,0,0,0,0,0,0,0,0,0,0,1,0.25,1,0.01694915254237288,1.3333333333333333,18.56153846153846,-1.3333333333333333,0
2024isde1,qm,2024isde1_qm1,1,R,Red1S,S,frc4338,False,26,0,0,0,0,1,5,7,6,1,1,5,2,2,7,13,0,0,9,18,2,1,0,0,1,0,0,0,0,0,0,0,0,0,SubW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1098809,91.0405206,0.1980382,On,1,R,0,0,Mover,0,0,1,4338.01,2,0.2857142857142857,0,0,0,0,0,0,0,0,3,1.5,5,0.19230769230769232,1,20.966666666666665,-1,0
2024isde1,qm,2024isde1_qm2,2,B,Blue1A,A,frc3211,False,37,0,0,0,0,2,10,14,2,0,0,0,0,0,0,2,0,0,4,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Podm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0367613,0,Else,0,A,0,0,,0,0,1,3211.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0256410256410255,15.741666666666667,-5.0256410256410255,0
2024isde1,qm,2024isde1_qm2,2,R,Red1S,S,frc6230,False,24,0,0,19,0,0,0,2,6,2,3,10,6,5,16,22,0,0,11,22,0,1,0,0,0,0,0,0,2,0,0,2,0,0,Amp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,139.4498577,0,Else,0,A,0,0,,0,0,1,6230.02,0,0,0,0.3333333333333333,0,0,0,0.18181818181818182,2,0.09090909090909091,0,0,2,0.08333333333333333,0.6666666666666666,23.379807692307693,1.3333333333333335,0
2024isde1,qm,2024isde1_qm2,2,B,Blue3S,S,frc1577,False,37,0,0,0,0,2,10,14,2,0,0,0,0,0,0,2,0,0,4,12,2,1,1,0,1,0,1,0,2,0,0,3,0,0,Amp,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,13.382022399999999,97.27102699999999,18.6201598,Park,-1,A,0,0,,0,0,1,1577.02,7,0.5,0,1,0,0,0,0.75,7,0.5833333333333334,1,0.5,10,0.2702702702702703,10.6875,15.741666666666667,-8.6875,0
2024isde1,qm,2024isde1_qm2,2,R,Red3A,A,frc7177,False,24,0,0,19,0,0,0,2,6,2,3,10,6,5,16,22,0,0,11,22,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Podm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119.30300159999999,9.303573799999999,10.4647908,0,Else,0,A,0,0,,0,0,1,7177.02,2,1,0,0,0,0,0,0,0,0,0,0,2,0.08333333333333333,3.5,23.379807692307693,-3.5,0
2024isde1,qm,2024isde1_qm2,2,B,Blue2C,C,frc1576,False,37,0,0,0,0,2,10,14,2,0,0,0,0,0,0,2,0,0,4,12,2,1,0,0,0,0,1,0,0,0,0,1,0,0,SubW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,32.1422549,50.3640885,28.4373485,6.7582093,Park,-1,A,0,0,Defense,2,0,1,1576.02,5,0.35714285714285715,0,0,0,0,0,0.25,5,0.4166666666666667,1,0.5,6,0.16216216216216217,7.666666666666667,15.741666666666667,-7.666666666666667,0
2024isde1,qm,2024isde1_qm2,2,R,Red2C,C,frc6740,False,24,0,0,19,0,0,0,2,6,2,3,10,6,5,16,22,0,0,11,22,0,1,0,0,0,0,2,0,6,6,0,14,0,0,SubW,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,8,0,0,0.7474618,10.9067745,122.6014129,0,Else,0,A,0,0,Shooter,0,0,1,6740.02,10,5,0,1,1.2,19.2,0,1.2727272727272727,35.2,1.6,0,0,35.2,1.4666666666666668,11.575,23.379807692307693,13.625,0
2024isde1,qm,2024isde1_qm3,3,B,Blue2C,C,frc1942,False,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2,1,0,0,0,0,0,0,3,9,0,12,0,1,Amp,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,0,1,0,0,0,4,2,5,0,0,20.8191556,21.7266068,110.666191,0,Z,9,A,0,0,Z,10,10,1,1942.03,0,0,0,1,0.9,18,0,0.8571428571428571,21,0.75,0,0,21,0.5833333333333334,21,18.494444444444444,0,0
2024isde1,qm,2024isde1_qm3,3,R,Red2C,C,frc1574,False,15,0,0,0,0,0,0,2,2,0,5,0,10,5,10,12,0,0,7,12,1,1,1,10,1,0,0,0,2,3,0,5,0,0,Amp,0,0,0,0,0,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.8333333333333334,0,0,0,1,0,3,0,0,42.0434081,46.463720599999995,50.996835399999995,0,Z,9,A,0,0,Z,10,10,1,1574.03,2,1,0,1,0.6,6,0,0.7142857142857143,8,0.6666666666666666,0,0,10,0.6666666666666666,8.444444444444445,27.375,-0.44444444444444464,0
2024isde1,qm,2024isde1_qm3,3,B,Blue1A,A,frc1580,False,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2,1,0,0,1,0,0,0,0,1,0,1,0,0,SubW,0,0,0,0,0,2,0,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.25,0,1,0,1,0,4,0,0,7.7420624,7.9984442,134.590916,0,Z,9,A,0,0,Z,10,10,1,1580.03,2,0.18181818181818182,0,0,0.1,2,0,0.07142857142857142,2,0.07142857142857142,0,0,4,0.1111111111111111,1.375,18.494444444444444,0.625,0
2024isde1,qm,2024isde1_qm3,3,R,Red1S,S,frc5135,False,15,0,0,0,0,0,0,2,2,0,5,0,10,5,10,12,0,0,7,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Podm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.3875601,15.925588,0,Z,9,A,0,0,Z,10,10,1,5135.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,27.375,-2.6666666666666665,0
2024isde1,qm,2024isde1_qm3,3,B,Blue3S,S,frc9738,False,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2,1,1,10,1,0,1,0,3,1,0,5,0,0,Podm,0,0,0,0,0,0,1,1,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.8333333333333334,0,0,0,1,1,2,0,0,10.595671999999999,48.324526399999996,81.6878047,0,Z,9,A,0,0,Z,10,10,1,9738.03,7,0.6363636363636364,0,1,0.1,2,0,0.35714285714285715,10,0.35714285714285715,0,0,12,0.3333333333333333,5,18.494444444444444,0,0
2024isde1,qm,2024isde1_qm3,3,R,Red3A,A,frc9740,False,15,0,0,0,0,0,0,2,2,0,5,0,10,5,10,12,0,0,7,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,OppS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.244903299999997,96.0309903,9.8444693,1.2529782,On,1,Z,10,10,Z,10,10,1,9740.03,2,1,0,0,0,0,0,0,0,0,23,23,25,1.6666666666666667,7.383333333333333,27.375,-7.383333333333333,0
2024isde1,qm,2024isde1_qm4,4,B,Blue2C,C,frc2230,False,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1,1,0,0,1,0,1,0,1,4,0,6,0,0,Podm,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,4,0,0,16.5162331,12.7960309,107.9777563,0,Else,0,A,0,0,Shooter,0,1,1,2230.04,7,1,0,1,0.6666666666666666,8,0,0.75,14,0.7777777777777778,0,0,16,0.6956521739130435,4.666666666666667,24.653846153846153,4.333333333333333,0
2024isde1,qm,2024isde1_qm4,4,R,Red2C,C,frc8175,False,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,1,0,0,0,0,0,0,1,3,0,4,0,0,Amp,0,0,0,0,0,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.75,1,0,1,2,1,0,0,0,15.410849299999999,56.875817399999995,62.3636096,3.3093827,On,1,R,0,0,Shooter,0,0,1,8175.04,0,0,0,0.25,0.3333333333333333,7,0,0.23529411764705882,8,0.17777777777777778,3,0.75,11,0.1896551724137931,1.3333333333333333,29.71666666666667,6.666666666666667,0
2024isde1,qm,2024isde1_qm4,4,B,Blue3S,S,frc2630,False,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1,1,1,0,1,0,1,0,1,0,0,2,0,0,SubW,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.6666666666666666,0,0,0,0,0,2,0,0,1.9605994,59.414018899999995,76.4223368,0,Else,0,A,0,0,,0,0,1,2630.04,7,1,0,1,0,0,0,0.25,6,0.3333333333333333,0,0,8,0.34782608695652173,11.25,24.653846153846153,-10.25,0
2024isde1,qm,2024isde1_qm4,4,R,Red3A,A,frc6738,False,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,1,1,0,1,0,2,0,0,3,0,5,0,0,SubW,0,0,0,0,0,2,0,1,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.625,0,0,0,0,1,3,0,0,11.5561829,55.805974,63.623559199999995,3.5992577,On,1,R,0,0,Shooter,0,0,1,6738.04,12,0.5454545454545454,0,0,0.3333333333333333,7,0,0.29411764705882354,17,0.37777777777777777,3,0.75,22,0.3793103448275862,14,29.71666666666667,-7,0
2024isde1,qm,2024isde1_qm4,4,B,Blue1A,A,frc3316,False,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1,1,0,0,0,0,1,0,0,1,0,2,0,0,Amp,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.3333333333333333,1,0,1,1,0,2,0,0,26.8821625,17.0206095,95.0064835,0,Park,0,A,0,0,Hybrid,0,1,1,3316.04,5,0.7142857142857143,0,0,0.16666666666666666,2,0,0.25,7,0.3888888888888889,1,1,8,0.34782608695652173,13.8,24.653846153846153,-11.8,0
2024isde1,qm,2024isde1_qm4,4,R,Red1S,S,frc3065,False,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,1,0,0,1,0,1,0,0,2,0,3,0,0,Podm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,34.1271397,28.062161,70.6899976,0.31654699999999997,Park,-1,A,0,0,Mover,2,1,1,3065.04,7,0.3181818181818182,0,0,0.2222222222222222,4.666666666666666,0,0.17647058823529413,9.666666666666666,0.2148148148148148,1,0.25,12.666666666666666,0.21839080459770113,9.32051282051282,29.71666666666667,-4.653846153846153,0
2024isde1,qm,2024isde1_qm5,5,B,Blue3S,S,frc5951,True,46,0,0,5,0,2,10,14,5,1,5,5,10,6,15,20,0,0,13,30,7,1,0,0,1,0,3,0,3,1,0,7,0,0,SubW,0,0,0,0,0,1,0.75,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.6666666666666666,3,0,1,2,0,5,0,0,30.8841859,30.2105031,62.1279076,13.033499299999999,Park,-1,A,0,0,Shooter,2,0,1,5951.05,17,1.2142857142857142,0,0.6,0.16666666666666666,2.5,0,0.5384615384615384,20.5,0.6833333333333333,1,0.14285714285714285,23.5,0.5108695652173914,9.966666666666667,15.733333333333336,-4.466666666666667,0
2024isde1,qm,2024isde1_qm5,5,R,Red3A,A,frc7067,True,40,1,0,5,0,0,0,4,4,0,12,0,24,12,24,28,0,0,16,28,3,1,1,0,1,0,0,0,1,0,0,1,0,0,OppS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.4309128,11.700939,81.5079083,0,Park,-1,A,0,0,Shooter,0,0,1,7067.05,2,0.5,0,0.25,0,0,0,0.0625,1,0.03571428571428571,1,0.3333333333333333,4,0.1,0.3333333333333333,26.46666666666667,0.6666666666666667,0
2024isde1,qm,2024isde1_qm5,5,B,Blue2C,C,frc5654,True,46,0,0,5,0,2,10,14,5,1,5,5,10,6,15,20,0,0,13,30,7,1,1,0,0,0,1,0,0,5,0,6,0,0,Podm,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,5,0,47.8584125,24.7073871,36.4946225,17.2596466,On,1,L,0,0,Hybrid,0,0,1,5654.05,5,0.35714285714285715,0,0,0.8333333333333334,12.5,0,0.46153846153846156,17.5,0.5833333333333334,3,0.42857142857142855,20.5,0.44565217391304346,9.75,15.733333333333336,2.75,0
2024isde1,qm,2024isde1_qm5,5,R,Red2C,C,frc3339,True,40,1,0,5,0,0,0,4,4,0,12,0,24,12,24,28,0,0,16,28,3,1,0,0,1,0,1,0,0,13,0,14,0,0,Podm,0,0,0,0,0,0,0,1,0.9333333333333333,0,0,0,0,0,0,0,0,0,2,0,1,12,1,0.9230769230769231,0,0,0,3,2,6,0,0,16.8698811,44.357625299999995,67.946646,8.107964299999999,Park,-1,A,0,0,Shooter,0,3,1,3339.05,7,1.75,0,0,1.0833333333333333,26,0,0.875,31,1.1071428571428572,1,0.3333333333333333,34,0.85,15.066666666666668,26.46666666666667,10.933333333333332,0
2024isde1,qm,2024isde1_qm5,5,B,Blue1A,A,frc3083,True,46,0,0,5,0,2,10,14,5,1,5,5,10,6,15,20,0,0,13,30,7,1,0,0,1,0,0,0,1,0,0,1,0,0,OppS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.0084154,120.8115169,3.6755131999999997,On,1,C,0,0,,0,0,1,3083.05,2,0.14285714285714285,0,0.2,0,0,0,0.07692307692307693,1,0.03333333333333333,3,0.42857142857142855,6,0.13043478260869565,6.75,15.733333333333336,-5.75,0
2024isde1,qm,2024isde1_qm5,5,R,Red1S,S,frc2679,True,40,1,0,5,0,0,0,4,4,0,12,0,24,12,24,28,0,0,16,28,3,1,0,0,0,0,0,0,2,0,0,2,0,0,Amp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,16.796002599999998,22.2472189,96.7174507,0,Park,0,A,0,0,Shooter,0,0,1,2679.05,0,0,0,0.5,0,0,0,0.125,2,0.07142857142857142,1,0.3333333333333333,3,0.075,0.3333333333333333,26.46666666666667,1.6666666666666667,0
2024isde1,qm,2024isde1_qm6,6,B,Blue1A,A,frc6230,True,31,0,0,5,0,0,0,2,2,0,4,0,8,4,8,10,0,0,6,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,SubW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83.34994259999999,53.8479003,0,Else,0,A,0,0,,0,0,2,6230.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,18.57142857142857,-1.3333333333333333,0
2024isde1,qm,2024isde1_qm6,6,R,Red1S,S,frc5715,False,33,0,0,14,0,2,10,12,0,0,6,0,12,6,12,12,0,0,8,22,4,1,0,0,0,0,0,0,1,4,0,5,0,0,OppS,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,4,0,0,18.679292999999998,3.6276401999999996,110.47405099999999,6.2141791,On,1,L,0,0,Shooter,0,0,1,5715.06,0,0,0,0,0.6666666666666666,8,0,0.625,9,0.4090909090909091,3,0.75,12,0.36363636363636365,14.071428571428571,12.461538461538463,-5.071428571428571,0
2024isde1,qm,2024isde1_qm6,6,B,Blue3S,S,frc5135,True,31,0,0,5,0,0,0,2,2,0,4,0,8,4,8,10,0,0,6,10,5,1,1,1,0,0,0,0,0,1,0,1,0,0,Podm,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,1,0,0,8.6313941,53.295750899999994,76.847618,0,Park,0,A,0,0,Defense,2,0,2,5135.06,0,0,0,0,0.25,2,0,0.16666666666666666,2,0.2,1,0.2,3,0.0967741935483871,2,18.57142857142857,0,0
2024isde1,qm,2024isde1_qm6,6,R,Red3A,A,frc7177,False,33,0,0,14,0,2,10,12,0,0,6,0,12,6,12,12,0,0,8,22,4,1,1,1,1,0,2,0,0,0,0,2,0,0,SubW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,126.5061508,7.9276686,5.296997999999999,0,Else,0,A,0,0,,0,0,2,7177.06,12,1,0,0,0,0,0,0.25,10,0.45454545454545453,0,0,12,0.36363636363636365,3.5,12.461538461538463,-3.5,0
2024isde1,qm,2024isde1_qm6,6,B,Blue2C,C,frc5990,True,31,0,0,5,0,0,0,2,2,0,4,0,8,4,8,10,0,0,6,10,5,1,0,0,1,0,0,0,3,4,0,7,0,1,Amp,0,0,0,0,0,0,1,1,0.8,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0.8888888888888888,0,0,0,2,3,2,0,0,21.264374999999998,39.328090599999996,65.0664079,9.997043099999999,On,1,L,0,1,Shooter,0,1,2,5990.06,2,1,0,1.5,1,8,0,1.1666666666666667,11,1.1,4,0.8,17,0.5483870967741935,9.12820512820513,18.57142857142857,1.8717948717948705,0
