Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts
2024isde1,qm,2024isde1_qm1,1,B,Blue1A,A,frc4319,True,59,1,0,4,0,4,20,22,7,4,3,20,6,7,26,33,0,0,18,53,4
2024isde1,qm,2024isde1_qm1,1,B,Blue2C,C,frc1690,True,59,1,0,4,0,4,20,22,7,4,3,20,6,7,26,33,0,0,18,53,4
2024isde1,qm,2024isde1_qm1,1,B,Blue3S,S,frc9303,True,59,1,0,4,0,4,20,22,7,4,3,20,6,7,26,33,0,0,18,53,4
2024isde1,qm,2024isde1_qm10,10,B,Blue1A,A,frc3339,True,86,1,0,9,0,4,20,24,8,4,11,20,22,15,42,50,0,0,27,70,2
2024isde1,qm,2024isde1_qm10,10,B,Blue2C,C,frc6740,True,86,1,0,9,0,4,20,24,8,4,11,20,22,15,42,50,0,0,27,70,2
2024isde1,qm,2024isde1_qm10,10,B,Blue3S,S,frc5951,True,86,1,0,9,0,4,20,24,8,4,11,20,22,15,42,50,0,0,27,70,2
2024isde1,qm,2024isde1_qm11,11,B,Blue1A,A,frc1690,True,49,0,0,10,0,1,5,9,8,0,1,0,2,1,2,10,5,1,10,15,10
2024isde1,qm,2024isde1_qm11,11,B,Blue2C,C,frc6230,True,49,0,0,10,0,1,5,9,8,0,1,0,2,1,2,10,5,1,10,15,10
2024isde1,qm,2024isde1_qm11,11,B,Blue3S,S,frc3083,True,49,0,0,10,0,1,5,9,8,0,1,0,2,1,2,10,5,1,10,15,10
2024isde1,qm,2024isde1_qm12,12,B,Blue1A,A,frc9303,True,28,0,0,0,0,1,5,7,4,1,3,5,6,4,11,15,0,0,9,20,1
2024isde1,qm,2024isde1_qm12,12,B,Blue2C,C,frc5135,True,28,0,0,0,0,1,5,7,4,1,3,5,6,4,11,15,0,0,9,20,1
2024isde1,qm,2024isde1_qm12,12,B,Blue3S,S,frc6740,True,28,0,0,0,0,1,5,7,4,1,3,5,6,4,11,15,0,0,9,20,1
2024isde1,qm,2024isde1_qm13,13,B,Blue1A,A,frc9738,False,64,0,0,0,0,4,20,26,6,1,4,5,8,5,13,19,0,0,15,39,2
2024isde1,qm,2024isde1_qm13,13,B,Blue2C,C,frc2630,False,64,0,0,0,0,4,20,26,6,1,4,5,8,5,13,19,0,0,15,39,2
2024isde1,qm,2024isde1_qm13,13,B,Blue3S,S,frc5990,False,64,0,0,0,0,4,20,26,6,1,4,5,8,5,13,19,0,0,15,39,2
2024isde1,qm,2024isde1_qm14,14,B,Blue1A,A,frc7067,False,36,0,0,5,0,2,10,14,4,0,5,0,10,5,10,14,0,0,11,24,3
2024isde1,qm,2024isde1_qm14,14,B,Blue2C,C,frc5715,False,36,0,0,5,0,2,10,14,4,0,5,0,10,5,10,14,0,0,11,24,3
2024isde1,qm,2024isde1_qm14,14,B,Blue3S,S,frc6738,False,36,0,0,5,0,2,10,14,4,0,5,0,10,5,10,14,0,0,11,24,3
2024isde1,qm,2024isde1_qm15,15,B,Blue1A,A,frc1574,False,52,0,1,7,0,1,5,7,2,1,7,5,14,8,19,21,5,1,11,26,12
2024isde1,qm,2024isde1_qm15,15,B,Blue2C,C,frc1577,False,52,0,1,7,0,1,5,7,2,1,7,5,14,8,19,21,5,1,11,26,12
2024isde1,qm,2024isde1_qm15,15,B,Blue3S,S,frc8175,False,52,0,1,7,0,1,5,7,2,1,7,5,14,8,19,21,5,1,11,26,12
2024isde1,qm,2024isde1_qm16,16,B,Blue1A,A,frc3316,False,26,0,0,0,0,1,5,7,1,0,3,0,6,3,6,7,0,0,5,12,2
2024isde1,qm,2024isde1_qm16,16,B,Blue2C,C,frc1580,False,26,0,0,0,0,1,5,7,1,0,3,0,6,3,6,7,0,0,5,12,2
2024isde1,qm,2024isde1_qm16,16,B,Blue3S,S,frc4338,False,26,0,0,0,0,1,5,7,1,0,3,0,6,3,6,7,0,0,5,12,2
2024isde1,qm,2024isde1_qm17,17,B,Blue1A,A,frc5990,True,94,1,1,0,0,7,35,41,7,5,2,25,4,7,29,36,5,1,21,71,12
2024isde1,qm,2024isde1_qm17,17,B,Blue2C,C,frc6738,True,94,1,1,0,0,7,35,41,7,5,2,25,4,7,29,36,5,1,21,71,12
2024isde1,qm,2024isde1_qm17,17,B,Blue3S,S,frc1690,True,94,1,1,0,0,7,35,41,7,5,2,25,4,7,29,36,5,1,21,71,12
2024isde1,qm,2024isde1_qm18,18,B,Blue1A,A,frc3083,True,44,0,0,0,0,1,5,9,6,1,5,5,10,6,15,21,0,0,13,26,7
2024isde1,qm,2024isde1_qm18,18,B,Blue2C,C,frc8175,True,44,0,0,0,0,1,5,9,6,1,5,5,10,6,15,21,0,0,13,26,7
2024isde1,qm,2024isde1_qm18,18,B,Blue3S,S,frc9738,True,44,0,0,0,0,1,5,9,6,1,5,5,10,6,15,21,0,0,13,26,7
2024isde1,qm,2024isde1_qm19,19,B,Blue1A,A,frc9303,False,45,0,0,10,0,3,15,17,2,1,4,5,8,5,13,15,0,0,10,30,3
